Day,Price,10MA,20MA,50MA,100MA,200MA
2167,110.4900,115.496,116.6065,115.9745,114.92315,121.0494
2166,112.4800,116.181,116.79075,115.9803,115.06325,121.14375
2165,113.1800,116.763,116.78375,115.9383,115.19005,121.2268
2164,116.1700,117.226,116.91075,115.8663,115.31045,121.3032
2163,115.6200,117.412,116.90775,115.7489,115.45625,121.374425
2162,118.2300,117.738,116.96525,115.6177,115.62075,121.440275
2161,118.2800,117.69,117.08225,115.5019,115.73465,121.509975
2160,119.0300,117.792,117.22125,115.4305,115.83695,121.583575
2159,115.2000,117.767,117.31575,115.3499,115.91485,121.6359
2158,116.2800,117.976,117.65575,115.3323,116.01895,121.70215
2157,117.3400,117.717,117.97025,115.2747,116.11275,121.764325
2156,118.3000,117.4005,118.16225,115.2321,116.17215,121.816775
2155,117.8100,116.8045,118.22225,115.1351,116.18985,121.860675
2154,118.0300,116.5955,118.35825,115.0573,116.23745,121.903925
2153,118.8800,116.4035,118.42025,115.0249,116.31405,121.938175
2152,117.7500,116.1925,118.20375,114.9729,116.38525,121.953875
2151,119.3000,116.4745,118.08025,114.9241,116.47215,121.963725
2150,118.7800,116.6505,118.06925,114.8223,116.54515,121.961875
2149,117.2900,116.8645,117.90525,114.6981,116.6116,121.967675
2148,113.6900,117.3355,117.72875,114.5553,116.684,121.979025
2147,114.1750,118.2235,117.73275,114.5277,116.8146,122.003825
2146,112.3400,118.924,117.6105,114.4296,116.94785,122.0261
2145,115.7200,119.64,117.5455,114.3902,117.10555,122.0502
2144,116.1100,120.121,117.3525,114.3226,117.21865,122.0661
2143,116.7700,120.437,117.0575,114.1548,117.33365,122.0621
2142,120.5700,120.215,116.8085,114.0746,117.43195,122.02395
2141,121.0600,119.686,116.36,113.929,117.50505,121.9866
2140,120.9200,119.488,115.913,113.7662,117.56745,121.9462
2139,122.0000,118.946,115.342,113.5416,117.63425,121.9036
2138,122.5700,118.122,114.781,113.1764,117.68345,121.84135
2137,121.1800,117.242,114.218,112.7874,117.72945,121.7721
2136,119.5000,116.297,113.698,112.479,117.80355,121.69615
2135,120.5300,115.451,113.242,112.342,117.89735,121.63275
2134,119.2700,114.584,112.6945,112.2316,117.96625,121.5791
2133,114.5500,113.678,112.246,112.1762,118.05155,121.53385
2132,115.2800,113.402,111.9715,112.2284,118.19255,121.50735
2131,119.0800,113.034,111.8295,112.242,118.33335,121.491
2130,115.5000,112.338,111.611,112.1634,118.44375,121.45505
2129,113.7600,111.738,111.586,112.1582,118.58835,121.4163
2128,113.7700,111.44,111.614,112.1528,118.7561,121.3788
2127,111.7300,111.194,111.5955,112.2718,118.9212,121.3412
2126,111.0400,111.099,111.7695,112.3476,119.1217,121.3292
2125,111.8600,111.033,111.89,112.4294,119.33175,121.3259
2124,110.2100,110.805,111.993,112.5002,119.50935,121.3292
2123,111.7900,110.814,112.303,112.5888,119.73265,121.3477
2122,111.6000,110.541,112.5275,112.7218,119.92865,121.3587
2121,112.1200,110.625,112.713,112.9158,120.11325,121.36075
2120,109.5000,110.884,112.8175,113.1208,120.29275,121.36285
2119,110.7800,111.434,112.971,113.3906,120.49965,121.38005
2118,111.3100,111.788,112.9395,113.6426,120.67955,121.38505
2117,110.7800,111.997,112.9895,113.8718,120.85595,121.39175
2116,110.3800,112.44,112.914,114.1462,121.00825,121.3849
2115,109.5800,112.747,112.9135,114.4418,121.1631,121.366725
2114,110.3000,113.181,113.0515,114.7546,121.3305,121.35995
2113,109.0600,113.792,112.9225,115.1636,121.5037,121.3571
2112,112.4400,114.514,113.1075,115.6238,121.6657,121.3699
2111,114.7100,114.801,113.15,115.9674,121.7914,121.36745
2110,115.0000,114.751,113.0605,116.2434,121.9023,121.3645
2109,114.3200,114.508,112.795,116.4798,122.0393,121.3515
2108,113.4000,114.091,112.266,116.7056,122.1856,121.3549
2107,115.2100,113.982,111.752,116.9508,122.3031,121.36535
2106,113.4500,113.388,111.2795,117.1122,122.4374,121.36895
2105,113.9200,113.08,111.2395,117.2446,122.6085,121.37485
2104,116.4100,112.922,111.294,117.4176,122.7958,121.3806
2103,116.2800,112.053,111.2985,117.6032,122.9345,121.3932
2102,115.3100,111.701,111.3425,117.7976,123.0684,121.4068
2101,114.2100,111.499,111.375,118.0202,123.2015,121.41825
2100,112.5700,111.37,111.422,118.268,123.3285,121.440325
2099,110.1500,111.082,111.5555,118.5251,123.4788,121.459825
2098,112.3100,110.441,111.7225,118.8127,123.6248,121.490625
2097,109.2700,109.522,112.093,119.1015,123.7634,121.502425
2096,110.3700,109.171,112.4055,119.4661,123.9385,121.533425
2095,112.3400,109.399,112.6435,119.8209,124.0978,121.551525
